,male,age,education,currentSmoker,cigsPerDay,BPMeds,prevalentStroke,prevalentHyp,diabetes,totChol,sysBP,diaBP,BMI,heartRate,glucose,sex
male,1.0,-0.02901358239379201,0.013361151293604634,0.19702561898006485,0.31484874197545953,-0.05154365492139285,-0.004550399458528799,0.005852836206752755,0.015693074997145288,-0.0288169481996517,-0.03587903305824271,0.05819942060201056,0.08199400543422043,-0.1180764838904023,0.018381405678590857,1.0
age,-0.02901358239379201,1.0,-0.16528327221833772,-0.21366166108783632,-0.19201735051418223,0.12101081383743009,0.05767861251979096,0.3067994670072182,0.10131407692862586,0.2137560868799324,0.3940533163927687,0.20558552098290575,0.1353555830573545,-0.015271498023417691,0.1188473342955674,-0.02901358239379201
education,0.013361151293604634,-0.16528327221833772,1.0,0.019398974814033205,0.010144630803892402,-0.010230652073396665,-0.03291012313254475,-0.0785646878530122,-0.038215478329684124,-0.012500197656995898,-0.1260615712211226,-0.06233409178197424,-0.13966670366945294,-0.047959171901418414,-0.03515623127740498,0.013361151293604634
currentSmoker,0.19702561898006485,-0.21366166108783632,0.019398974814033205,1.0,0.7603260298170663,-0.048347668649109936,-0.03298038577690265,-0.10371029734183666,-0.04428529804760804,-0.053772995280218894,-0.13028148696772968,-0.1079331871093891,-0.16724679218566998,0.06088674498319191,-0.05670362751165269,0.19702561898006485
cigsPerDay,0.31484874197545953,-0.19201735051418223,0.010144630803892402,0.7603260298170663,1.0,-0.044696871991177375,-0.032248445468174895,-0.0655407477100936,-0.036173145206074155,-0.03545047903210676,-0.0883925292740928,-0.056767506971822396,-0.09252275938085382,0.0727978345297492,-0.05678515805193897,0.31484874197545953
BPMeds,-0.05154365492139285,0.12101081383743009,-0.010230652073396665,-0.048347668649109936,-0.044696871991177375,1.0,0.11461399672774261,0.2585798503249728,0.05140694885340833,0.0582875180287508,0.25147927806797904,0.1922535269294815,0.09954962287056487,0.015322913422438356,0.04930501016999839,-0.05154365492139285
prevalentStroke,-0.004550399458528799,0.05767861251979096,-0.03291012313254475,-0.03298038577690265,-0.032248445468174895,0.11461399672774261,1.0,0.0747911275305874,0.006955093817217692,0.004292889301108433,0.0569999372073716,0.045153466442789586,0.023710101297508005,-0.017477062983526973,0.01991763901383016,-0.004550399458528799
prevalentHyp,0.005852836206752755,0.3067994670072182,-0.0785646878530122,-0.10371029734183666,-0.0655407477100936,0.2585798503249728,0.0747911275305874,1.0,0.07775204747263427,0.14219047215710118,0.6966558825326066,0.6158401996052182,0.30046268753945365,0.143885030900672,0.08407745224226823,0.005852836206752755
diabetes,0.015693074997145288,0.10131407692862586,-0.038215478329684124,-0.04428529804760804,-0.036173145206074155,0.05140694885340833,0.006955093817217692,0.07775204747263427,1.0,0.03676091668140742,0.11126454343809514,0.0502603780447421,0.08583098196982017,0.04899812281697333,0.6035237381855096,0.015693074997145288
totChol,-0.0288169481996517,0.2137560868799324,-0.012500197656995898,-0.053772995280218894,-0.03545047903210676,0.0582875180287508,0.004292889301108433,0.14219047215710118,0.03676091668140742,1.0,0.1734816212972127,0.14074526342306973,0.09298190320904001,0.06786867325131399,0.05726742279709619,-0.0288169481996517
sysBP,-0.03587903305824271,0.3940533163927687,-0.1260615712211226,-0.13028148696772968,-0.0883925292740928,0.25147927806797904,0.0569999372073716,0.6966558825326066,0.11126454343809514,0.1734816212972127,1.0,0.7839519585985607,0.32498693340954954,0.17853474446013218,0.1351374163133803,-0.03587903305824271
diaBP,0.05819942060201056,0.20558552098290575,-0.06233409178197424,-0.1079331871093891,-0.056767506971822396,0.1922535269294815,0.045153466442789586,0.6158401996052182,0.0502603780447421,0.14074526342306973,0.7839519585985607,1.0,0.3764582397706731,0.18115002057000276,0.059256800355951926,0.05819942060201056
BMI,0.08199400543422043,0.1353555830573545,-0.13966670366945294,-0.16724679218566998,-0.09252275938085382,0.09954962287056487,0.023710101297508005,0.30046268753945365,0.08583098196982017,0.09298190320904001,0.32498693340954954,0.3764582397706731,1.0,0.06570998818519662,0.08198494636246573,0.08199400543422043
heartRate,-0.1180764838904023,-0.015271498023417691,-0.047959171901418414,0.06088674498319191,0.0727978345297492,0.015322913422438356,-0.017477062983526973,0.143885030900672,0.04899812281697333,0.06786867325131399,0.17853474446013218,0.18115002057000276,0.06570998818519662,1.0,0.08165514675167453,-0.1180764838904023
glucose,0.018381405678590857,0.1188473342955674,-0.03515623127740498,-0.05670362751165269,-0.05678515805193897,0.04930501016999839,0.01991763901383016,0.08407745224226823,0.6035237381855096,0.05726742279709619,0.1351374163133803,0.059256800355951926,0.08198494636246573,0.08165514675167453,1.0,0.018381405678590857
sex,1.0,-0.02901358239379201,0.013361151293604634,0.19702561898006485,0.31484874197545953,-0.05154365492139285,-0.004550399458528799,0.005852836206752755,0.015693074997145288,-0.0288169481996517,-0.03587903305824271,0.05819942060201056,0.08199400543422043,-0.1180764838904023,0.018381405678590857,1.0
